iter,coal,gas,nuclear,oil,θ_ω1,θ_ω2,investment_cost,EQ,LB,UB,gap,cut_type
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.338605251131961e6,0.0,7.338605251131961e6,7.338605251131961e6,optimality_multi_cut
2,0.0,0.0,0.0,10701.62807131187,0.0,0.0,21403.25614262374,1.1808993131279063e6,21403.25614262374,1.20230256927053e6,1.1808993131279063e6,optimality_multi_cut
3,0.0,14310.374429203917,0.0,0.0,0.0,0.0,71551.87214601958,587088.4200905568,71551.87214601958,658640.2922365764,587088.4200905568,optimality_multi_cut
4,10407.545039421031,0.0,0.0,0.0,146734.42922400078,0.0,166520.7206307365,196177.7783083401,181194.16355313658,362698.49893907655,181504.33538593998,optimality_multi_cut
5,0.0,0.0,7155.18721460196,5033.966436207351,193243.14611891354,46508.71689491275,239033.9237396774,165893.12167810008,300216.08355699026,362698.49893907655,62482.4153820863,optimality_multi_cut
6,0.0,2328.7236033939453,7155.18721460196,1410.0289429081104,193243.14611891354,46508.716894912744,243429.66677004867,120805.57968570996,304611.8265873615,362698.49893907655,58086.67235171504,optimality_multi_cut
7,0.0,1280.1603046247922,8518.728565409314,1647.6913702996867,93022.85683457297,21283.201904976693,282295.4983568214,81862.20228294011,310752.6657547577,362698.49893907655,51945.83318431885,optimality_multi_cut
8,2101.8874154231808,3310.9535076826082,5756.159076894215,0.0,184056.3173510774,72390.73744250598,234382.05664579882,111022.46319342527,317939.35207916197,345404.51983922406,27465.16776006209,optimality_multi_cut
9,8768.301333305613,235.69866669438522,0.0,2291.5248518475796,258802.26331835767,178879.68036504902,146054.36437005692,218778.60441365273,332926.3030304368,345404.51983922406,12478.216808787256,optimality_multi_cut
10,6395.999999999992,0.0,3919.0000000000114,1168.7440476240588,126702.72374375044,106378.18036504879,230081.48809524835,112937.77511388843,338492.1227981673,343019.2632091368,4527.1404109694995,optimality_multi_cut
11,8232.42014736373,2165.0000000000036,771.5798526362673,0.0,230849.5170180217,165253.56952962547,167234.27764218027,182341.9314016095,339047.44192064536,343019.2632091368,3971.8212884914246,optimality_multi_cut
12,5084.9999999999845,1311.0000000000068,3919.000000000012,853.9999999999969,184320.8744286195,118724.92694022338,215031.00000000017,125284.52168906301,340315.5216890632,340315.5216890632,0.0,optimality_multi_cut
